point_id,latitude,longitude,depth_ft
00000,40.0915144,-86.0736120,1.15
00001,40.0915050,-86.0724390,1.68
00002,40.0924059,-86.0724268,2.06
00003,40.0896845,-86.0701177,7.44
00004,40.0905854,-86.0701054,6.15
00005,40.0914862,-86.0700932,5.25
00006,40.0896751,-86.0689448,7.97
00007,40.0905759,-86.0689325,7.68
00008,40.0914768,-86.0689203,2.52
00009,40.0878640,-86.0677965,5.17
00010,40.0896657,-86.0677719,9.37
00011,40.0905665,-86.0677596,8.78
00012,40.0914673,-86.0677473,6.83
00013,40.0923682,-86.0677350,2.42
00014,40.0878545,-86.0666236,10.99
00015,40.0887554,-86.0666113,8.83
00016,40.0896562,-86.0665990,10.86
00017,40.0905571,-86.0665867,10.07
00018,40.0860434,-86.0654754,4.25
00019,40.0869442,-86.0654631,13.93
00020,40.0878451,-86.0654508,12.98
00021,40.0887459,-86.0654384,12.68
00022,40.0896468,-86.0654261,11.77
00023,40.0905476,-86.0654138,8.78
00024,40.0824305,-86.0643519,12.86
00025,40.0833314,-86.0643396,18.91
00026,40.0842322,-86.0643272,17.77
00027,40.0851331,-86.0643149,17.55
00028,40.0860339,-86.0643026,16.50
00029,40.0869347,-86.0642902,13.90
00030,40.0878356,-86.0642779,13.36
00031,40.0815202,-86.0631915,19.37
00032,40.0824210,-86.0631791,21.32
00033,40.0833219,-86.0631668,19.04
00034,40.0842227,-86.0631544,17.46
00035,40.0851236,-86.0631421,16.62
00036,40.0779073,-86.0620682,3.85
00037,40.0815107,-86.0620187,21.64
00038,40.0824115,-86.0620064,20.03
00039,40.0787987,-86.0608831,21.35
00040,40.0796995,-86.0608707,8.09
00041,40.0806003,-86.0608584,14.14
00042,40.0815012,-86.0608460,22.24
00043,40.0769874,-86.0597352,26.96
00044,40.0778883,-86.0597228,27.30
00045,40.0787891,-86.0597104,26.04
00046,40.0796900,-86.0596980,25.45
00047,40.0805908,-86.0596856,25.42
00048,40.0814917,-86.0596732,20.96
00049,40.0760771,-86.0585749,6.31
00050,40.0769779,-86.0585625,30.15
00051,40.0778788,-86.0585501,27.92
00052,40.0787796,-86.0585377,25.79
00053,40.0733650,-86.0574395,2.56
00054,40.0751667,-86.0574147,6.53
00055,40.0760675,-86.0574023,28.65
00056,40.0769684,-86.0573899,31.22
00057,40.0778692,-86.0573774,28.20
00058,40.0742563,-86.0562545,22.83
00059,40.0751571,-86.0562421,30.27
00060,40.0760580,-86.0562296,32.15
00061,40.0769588,-86.0562172,31.47
00062,40.0778597,-86.0562047,28.35
00063,40.0742467,-86.0550819,16.22
00064,40.0751476,-86.0550694,34.93
00065,40.0760484,-86.0550570,33.89
00066,40.0751380,-86.0538968,39.80
00067,40.0760389,-86.0538843,36.44
00068,40.0742276,-86.0527366,40.55
00069,40.0751284,-86.0527241,35.44
00070,40.0760293,-86.0527117,34.40
00071,40.0769301,-86.0526992,37.20
00072,40.0733171,-86.0515765,5.91
00073,40.0742180,-86.0515640,40.43
00074,40.0751188,-86.0515515,36.48
00075,40.0760197,-86.0515390,33.85
00076,40.0769205,-86.0515265,39.42
00077,40.0778214,-86.0515140,35.56
00078,40.0787222,-86.0515015,5.44
00079,40.0733075,-86.0504039,34.45
00080,40.0742084,-86.0503914,36.83
00081,40.0751092,-86.0503789,36.01
00082,40.0760101,-86.0503664,33.86
00083,40.0769109,-86.0503538,40.35
00084,40.0778118,-86.0503413,34.49
00085,40.0787126,-86.0503288,32.76
00086,40.0805143,-86.0503038,8.87
00087,40.0732979,-86.0492313,34.76
00088,40.0741988,-86.0492188,36.48
00089,40.0750996,-86.0492062,36.75
00090,40.0760005,-86.0491937,35.64
00091,40.0769013,-86.0491812,40.28
00092,40.0778021,-86.0491686,35.03
00093,40.0787030,-86.0491561,32.42
00094,40.0814055,-86.0491185,9.22
00095,40.0841080,-86.0490809,8.45
00096,40.0850089,-86.0490684,24.72
00097,40.0732883,-86.0480587,25.26
00098,40.0741891,-86.0480461,36.65
00099,40.0750900,-86.0480336,37.59
00100,40.0759908,-86.0480210,37.02
00101,40.0768917,-86.0480085,33.62
00102,40.0777925,-86.0479960,36.36
00103,40.0786934,-86.0479834,33.16
00104,40.0795942,-86.0479709,20.15
00105,40.0804950,-86.0479583,20.18
00106,40.0822967,-86.0479332,37.00
00107,40.0831976,-86.0479207,30.24
00108,40.0840984,-86.0479081,29.25
00109,40.0849993,-86.0478956,32.77
00110,40.1147270,-86.0474811,3.06
00111,40.0732786,-86.0468861,7.58
00112,40.0741795,-86.0468735,36.76
00113,40.0750803,-86.0468610,38.69
00114,40.0759812,-86.0468484,23.48
00115,40.0768820,-86.0468358,41.08
00116,40.0777829,-86.0468233,35.21
00117,40.0786837,-86.0468107,31.94
00118,40.0795846,-86.0467981,19.56
00119,40.0804854,-86.0467856,10.47
00120,40.0813862,-86.0467730,37.04
00121,40.0822871,-86.0467605,30.44
00122,40.0831879,-86.0467479,31.27
00123,40.0840888,-86.0467353,28.79
00124,40.0849896,-86.0467228,28.20
00125,40.0858904,-86.0467102,32.96
00126,40.1138165,-86.0463204,4.85
00127,40.0732690,-86.0457135,5.53
00128,40.0741698,-86.0457009,36.80
00129,40.0750707,-86.0456883,33.57
00130,40.0759715,-86.0456757,8.36
00131,40.0768724,-86.0456632,40.55
00132,40.0777732,-86.0456506,34.73
00133,40.0786741,-86.0456380,33.13
00134,40.0795749,-86.0456254,24.70
00135,40.0804757,-86.0456129,37.39
00136,40.0813766,-86.0456003,31.77
00137,40.0822774,-86.0455877,30.95
00138,40.0831783,-86.0455751,31.41
00139,40.0840791,-86.0455625,29.66
00140,40.0849799,-86.0455500,27.68
00141,40.0858808,-86.0455374,32.72
00142,40.0867816,-86.0455248,11.56
00143,40.0885833,-86.0454996,15.40
00144,40.1047984,-86.0452730,3.31
00145,40.1129060,-86.0451597,8.32
00146,40.1138068,-86.0451471,5.24
00147,40.0768627,-86.0444905,35.46
00148,40.0777635,-86.0444779,34.10
00149,40.0786644,-86.0444653,34.51
00150,40.0795652,-86.0444527,32.97
00151,40.0804661,-86.0444401,32.41
00152,40.0813669,-86.0444275,31.78
00153,40.0822678,-86.0444149,31.55
00154,40.0831686,-86.0444023,30.39
00155,40.0840694,-86.0443897,26.72
00156,40.0849703,-86.0443772,30.16
00157,40.0858711,-86.0443646,30.63
00158,40.0867720,-86.0443520,25.91
00159,40.0876728,-86.0443394,7.99
00160,40.0930778,-86.0442638,28.14
00161,40.1083921,-86.0440494,11.36
00162,40.1092929,-86.0440368,13.75
00163,40.1119955,-86.0439990,10.84
00164,40.1128963,-86.0439864,0.89
00165,40.0768530,-86.0433178,36.72
00166,40.0777539,-86.0433052,38.60
00167,40.0786547,-86.0432926,35.11
00168,40.0795555,-86.0432800,33.05
00169,40.0804564,-86.0432674,32.43
00170,40.0813572,-86.0432548,31.34
00171,40.0822581,-86.0432422,30.88
00172,40.0831589,-86.0432296,28.14
00173,40.0840598,-86.0432170,24.68
00174,40.0849606,-86.0432043,34.04
00175,40.0858614,-86.0431917,29.14
00176,40.0867623,-86.0431791,24.45
00177,40.0921673,-86.0431034,24.61
00178,40.0930682,-86.0430908,23.99
00179,40.0939690,-86.0430782,25.18
00180,40.0993740,-86.0430025,5.62
00181,40.1074816,-86.0428889,13.47
00182,40.1083824,-86.0428762,16.03
00183,40.1092833,-86.0428636,15.54
00184,40.1101841,-86.0428510,14.96
00185,40.1110849,-86.0428384,13.19
00186,40.1119858,-86.0428257,11.98
00187,40.0768433,-86.0421452,36.07
00188,40.0777442,-86.0421325,35.21
00189,40.0786450,-86.0421199,34.39
00190,40.0795459,-86.0421073,33.21
00191,40.0804467,-86.0420947,32.56
00192,40.0813475,-86.0420821,30.45
00193,40.0822484,-86.0420694,21.43
00194,40.0831492,-86.0420568,7.55
00195,40.0840501,-86.0420442,5.76
00196,40.0849509,-86.0420315,20.64
00197,40.0858517,-86.0420189,27.52
00198,40.0867526,-86.0420063,25.03
00199,40.0876534,-86.0419937,8.19
00200,40.0885543,-86.0419810,3.92
00201,40.0903559,-86.0419558,6.79
00202,40.0921576,-86.0419305,28.32
00203,40.0930585,-86.0419179,24.39
00204,40.0939593,-86.0419052,24.47
00205,40.0993643,-86.0418294,14.45
00206,40.1002652,-86.0418168,23.21
00207,40.1011660,-86.0418042,22.46
00208,40.1020669,-86.0417915,19.93
00209,40.1029677,-86.0417789,19.17
00210,40.1047694,-86.0417536,7.84
00211,40.1074719,-86.0417157,16.83
00212,40.1083727,-86.0417030,16.37
00213,40.1092736,-86.0416904,15.95
00214,40.1101744,-86.0416777,15.12
00215,40.1110752,-86.0416651,14.34
00216,40.0786353,-86.0409472,18.30
00217,40.0795362,-86.0409346,17.38
00218,40.0804370,-86.0409220,15.23
00219,40.0813378,-86.0409093,28.46
00220,40.0822387,-86.0408967,22.29
00221,40.0840404,-86.0408714,4.50
00222,40.0849412,-86.0408587,29.36
00223,40.0858420,-86.0408461,28.71
00224,40.0867429,-86.0408335,25.11
00225,40.0876437,-86.0408208,21.85
00226,40.0885446,-86.0408082,16.56
00227,40.0894454,-86.0407955,16.33
00228,40.0903462,-86.0407829,4.52
00229,40.0912471,-86.0407702,31.17
00230,40.0921479,-86.0407576,24.36
00231,40.0930488,-86.0407449,22.86
00232,40.0939496,-86.0407323,23.28
00233,40.0948504,-86.0407196,24.53
00234,40.0984538,-86.0406690,2.94
00235,40.0993546,-86.0406564,22.97
00236,40.1002555,-86.0406437,21.01
00237,40.1011563,-86.0406311,20.70
00238,40.1020571,-86.0406184,20.89
00239,40.1029580,-86.0406058,19.81
00240,40.1038588,-86.0405931,19.07
00241,40.1056605,-86.0405678,3.03
00242,40.1065613,-86.0405551,19.26
00243,40.1074622,-86.0405425,18.19
00244,40.1083630,-86.0405298,16.91
00245,40.1092638,-86.0405172,16.15
00246,40.1101647,-86.0405045,16.38
00247,40.0813281,-86.0397366,7.98
00248,40.0822290,-86.0397239,0.30
00249,40.0831298,-86.0397113,12.29
00250,40.0849315,-86.0396859,29.03
00251,40.0858323,-86.0396733,32.46
00252,40.0867332,-86.0396606,27.60
00253,40.0876340,-86.0396480,25.29
00254,40.0885348,-86.0396353,24.82
00255,40.0894357,-86.0396226,26.57
00256,40.0903365,-86.0396100,31.02
00257,40.0912374,-86.0395973,23.58
00258,40.0921382,-86.0395847,22.09
00259,40.0930390,-86.0395720,16.59
00260,40.0939399,-86.0395593,20.75
00261,40.0948407,-86.0395467,25.09
00262,40.0957416,-86.0395340,6.86
00263,40.0966424,-86.0395213,6.01
00264,40.0984441,-86.0394960,24.48
00265,40.0993449,-86.0394833,21.35
00266,40.1002457,-86.0394707,20.51
00267,40.1011466,-86.0394580,20.52
00268,40.1020474,-86.0394453,22.31
00269,40.1029483,-86.0394326,20.04
00270,40.1038491,-86.0394200,19.44
00271,40.1047499,-86.0394073,18.73
00272,40.1056508,-86.0393946,19.02
00273,40.1065516,-86.0393820,18.37
00274,40.1074524,-86.0393693,17.82
00275,40.1083533,-86.0393566,17.76
00276,40.1092541,-86.0393439,16.77
00277,40.1101549,-86.0393313,16.65
00278,40.0804175,-86.0385765,5.35
00279,40.0831201,-86.0385385,13.15
00280,40.0840209,-86.0385258,8.84
00281,40.0849218,-86.0385131,21.39
00282,40.0858226,-86.0385005,28.83
00283,40.0867234,-86.0384878,28.09
00284,40.0876243,-86.0384751,28.58
00285,40.0885251,-86.0384624,29.63
00286,40.0894259,-86.0384498,28.56
00287,40.0921285,-86.0384117,10.46
00288,40.0948310,-86.0383737,27.44
00289,40.0957318,-86.0383610,20.18
00290,40.0966327,-86.0383483,13.85
00291,40.0975335,-86.0383356,25.00
00292,40.0984343,-86.0383230,22.89
00293,40.0993352,-86.0383103,21.12
00294,40.1002360,-86.0382976,21.38
00295,40.1011368,-86.0382849,14.83
00296,40.1020377,-86.0382722,21.25
00297,40.1029385,-86.0382595,21.12
00298,40.1038394,-86.0382469,20.31
00299,40.1047402,-86.0382342,19.45
00300,40.1056410,-86.0382215,19.11
00301,40.1065419,-86.0382088,19.24
00302,40.1074427,-86.0381961,18.91
00303,40.1083435,-86.0381834,19.24
00304,40.1092444,-86.0381707,17.12
00305,40.1101452,-86.0381580,16.08
00306,40.1110460,-86.0381453,4.60
00307,40.0831103,-86.0373657,2.97
00308,40.0840112,-86.0373530,4.85
00309,40.0939204,-86.0372134,24.15
00310,40.0948212,-86.0372007,24.61
00311,40.0957221,-86.0371880,21.55
00312,40.0966229,-86.0371753,24.12
00313,40.0975238,-86.0371626,22.96
00314,40.0984246,-86.0371499,22.12
00315,40.0993254,-86.0371372,21.76
00316,40.1002263,-86.0371245,22.06
00317,40.1011271,-86.0371118,3.16
00318,40.1020279,-86.0370991,18.76
00319,40.1029288,-86.0370864,19.88
00320,40.1038296,-86.0370737,19.69
00321,40.1047304,-86.0370610,20.69
00322,40.1056313,-86.0370483,19.51
00323,40.1065321,-86.0370356,19.97
00324,40.1092346,-86.0369975,17.56
00325,40.1101355,-86.0369848,16.46
00326,40.1110363,-86.0369721,10.43
00327,40.0812989,-86.0362183,4.27
00328,40.0821997,-86.0362056,2.12
00329,40.0831006,-86.0361929,2.70
00330,40.0840014,-86.0361802,6.31
00331,40.0849023,-86.0361675,4.24
00332,40.0930098,-86.0360532,3.55
00333,40.0939106,-86.0360405,24.59
00334,40.0948115,-86.0360277,26.44
00335,40.0957123,-86.0360150,22.60
00336,40.0966132,-86.0360023,22.77
00337,40.0975140,-86.0359896,22.96
00338,40.0984148,-86.0359769,22.61
00339,40.0993157,-86.0359642,22.80
00340,40.1020182,-86.0359260,12.03
00341,40.1029190,-86.0359133,20.15
00342,40.1038199,-86.0359006,19.70
00343,40.1047207,-86.0358879,19.73
00344,40.1056215,-86.0358752,21.24
00345,40.1092249,-86.0358243,4.96
00346,40.1101257,-86.0358116,17.11
00347,40.1110265,-86.0357988,15.46
00348,40.1119274,-86.0357861,12.41
00349,40.1164315,-86.0357225,13.02
00350,40.1173324,-86.0357098,11.19
00351,40.1209357,-86.0356589,3.28
00352,40.0830908,-86.0350202,0.44
00353,40.0839917,-86.0350075,4.38
00354,40.0939009,-86.0348675,25.27
00355,40.0948017,-86.0348548,24.85
00356,40.0957025,-86.0348420,23.95
00357,40.0966034,-86.0348293,24.03
00358,40.0975042,-86.0348166,23.19
00359,40.0984051,-86.0348039,23.26
00360,40.1029092,-86.0347402,7.92
00361,40.1038101,-86.0347275,20.22
00362,40.1047109,-86.0347147,20.32
00363,40.1056118,-86.0347020,14.37
00364,40.1101159,-86.0346383,18.63
00365,40.1110168,-86.0346256,15.51
00366,40.1119176,-86.0346129,15.40
00367,40.1128184,-86.0346001,9.38
00368,40.1137193,-86.0345874,16.30
00369,40.1146201,-86.0345746,15.52
00370,40.1155209,-86.0345619,15.17
00371,40.1164218,-86.0345492,14.30
00372,40.1173226,-86.0345364,13.73
00373,40.1182234,-86.0345237,13.31
00374,40.0938911,-86.0336945,12.90
00375,40.0947919,-86.0336818,26.19
00376,40.0956928,-86.0336691,24.08
00377,40.0965936,-86.0336563,25.91
00378,40.0974944,-86.0336436,24.27
00379,40.0983953,-86.0336308,20.61
00380,40.1101061,-86.0334651,10.16
00381,40.1110070,-86.0334523,16.36
00382,40.1119078,-86.0334396,16.34
00383,40.1128086,-86.0334268,15.32
00384,40.1137095,-86.0334141,14.93
00385,40.1146103,-86.0334013,15.04
00386,40.1155111,-86.0333886,14.15
00387,40.1164120,-86.0333758,14.43
00388,40.1173128,-86.0333631,14.18
00389,40.1182136,-86.0333503,14.20
00390,40.1200153,-86.0333248,11.30
00391,40.0947821,-86.0325088,14.40
00392,40.0956830,-86.0324961,24.08
00393,40.1109972,-86.0322791,16.77
00394,40.1118980,-86.0322663,16.16
00395,40.1127988,-86.0322536,15.75
00396,40.1136997,-86.0322408,15.24
00397,40.1164022,-86.0322025,13.73
00398,40.1173030,-86.0321897,13.56
00399,40.1182038,-86.0321769,13.55
00400,40.1191047,-86.0321642,13.04
00401,40.1200055,-86.0321514,12.36
00402,40.1209063,-86.0321386,13.26
00403,40.1218072,-86.0321258,11.69
00404,40.1127890,-86.0310803,11.54
00405,40.1136899,-86.0310675,14.52
00406,40.1163924,-86.0310291,13.60
00407,40.1172932,-86.0310164,13.23
00408,40.1181940,-86.0310036,13.01
00409,40.1190949,-86.0309908,12.66
00410,40.1199957,-86.0309780,12.16
00411,40.1208965,-86.0309652,12.18
00412,40.1217974,-86.0309524,13.57
00413,40.1226982,-86.0309396,11.39
00414,40.1154817,-86.0298686,12.06
00415,40.1163825,-86.0298558,13.67
00416,40.1172834,-86.0298430,13.52
00417,40.1181842,-86.0298302,13.27
00418,40.1190850,-86.0298174,13.36
00419,40.1199859,-86.0298046,12.57
00420,40.1208867,-86.0297918,8.38
00421,40.1217875,-86.0297790,10.12
00422,40.1226884,-86.0297662,13.27
00423,40.1235892,-86.0297534,10.16
00424,40.1389033,-86.0295356,0.46
00425,40.1398041,-86.0295227,0.44
00426,40.1407050,-86.0295099,0.44
00427,40.1416058,-86.0294971,0.44
00428,40.1163727,-86.0286825,13.54
00429,40.1172735,-86.0286696,13.79
00430,40.1181744,-86.0286568,13.88
00431,40.1190752,-86.0286440,11.86
00432,40.1226785,-86.0285927,13.60
00433,40.1235794,-86.0285799,11.55
00434,40.1244802,-86.0285671,8.35
00435,40.1352902,-86.0284132,3.97
00436,40.1361910,-86.0284003,3.70
00437,40.1370918,-86.0283875,3.27
00438,40.1379926,-86.0283747,2.21
00439,40.1388935,-86.0283618,1.24
00440,40.1397943,-86.0283490,1.44
00441,40.1406951,-86.0283362,1.59
00442,40.1415960,-86.0283233,1.32
00443,40.1424968,-86.0283105,1.11
00444,40.1433976,-86.0282977,0.44
00445,40.1217679,-86.0274321,10.35
00446,40.1226687,-86.0274193,12.19
00447,40.1235695,-86.0274064,11.16
00448,40.1244703,-86.0273936,3.74
00449,40.1352803,-86.0272395,4.61
00450,40.1361811,-86.0272266,4.72
00451,40.1370820,-86.0272138,3.79
00452,40.1379828,-86.0272010,1.58
00453,40.1415861,-86.0271496,1.93
00454,40.1217580,-86.0262587,11.74
00455,40.1226588,-86.0262458,11.18
00456,40.1235597,-86.0262330,11.00
00457,40.1244605,-86.0262201,7.95
00458,40.1253613,-86.0262073,9.20
00459,40.1262621,-86.0261944,9.20
00460,40.1271630,-86.0261816,9.03
00461,40.1325680,-86.0261044,4.54
00462,40.1334688,-86.0260916,6.03
00463,40.1343696,-86.0260787,5.43
00464,40.1352704,-86.0260658,5.33
00465,40.1217481,-86.0250853,11.34
00466,40.1226490,-86.0250724,11.09
00467,40.1235498,-86.0250595,10.96
00468,40.1244506,-86.0250466,10.68
00469,40.1253514,-86.0250338,10.70
00470,40.1262523,-86.0250209,9.63
00471,40.1271531,-86.0250080,9.29
00472,40.1280539,-86.0249952,9.04
00473,40.1325581,-86.0249308,7.81
00474,40.1334589,-86.0249179,6.21
00475,40.1343597,-86.0249050,5.97
00476,40.1352606,-86.0248922,5.70
00477,40.1217382,-86.0239118,11.38
00478,40.1226391,-86.0238989,11.16
00479,40.1235399,-86.0238861,11.30
00480,40.1244407,-86.0238732,11.63
00481,40.1253416,-86.0238603,11.28
00482,40.1262424,-86.0238474,11.35
00483,40.1271432,-86.0238345,9.65
00484,40.1280440,-86.0238216,9.48
00485,40.1289449,-86.0238087,9.15
00486,40.1298457,-86.0237958,8.62
00487,40.1307465,-86.0237830,9.87
00488,40.1316474,-86.0237701,10.66
00489,40.1325482,-86.0237572,10.29
00490,40.1334490,-86.0237443,6.89
00491,40.1217283,-86.0227384,11.36
00492,40.1226292,-86.0227255,11.57
00493,40.1235300,-86.0227126,11.70
00494,40.1271333,-86.0226610,9.76
00495,40.1280341,-86.0226481,10.17
00496,40.1289350,-86.0226352,9.74
00497,40.1298358,-86.0226223,9.23
00498,40.1307366,-86.0226094,8.87
00499,40.1316375,-86.0225965,8.90
00500,40.1325383,-86.0225836,7.54
00501,40.1334391,-86.0225707,6.47
00502,40.1343399,-86.0225578,6.53
00503,40.1289251,-86.0214616,8.74
00504,40.1298259,-86.0214487,8.81
00505,40.1307267,-86.0214358,8.82
00506,40.1316275,-86.0214229,9.00
00507,40.1325284,-86.0214100,7.03
00508,40.1334292,-86.0213970,7.20
00509,40.1343300,-86.0213841,6.07
00510,40.1352309,-86.0213712,6.71
00511,40.1361317,-86.0213583,5.83
00512,40.1397350,-86.0213066,3.40
00513,40.1406358,-86.0212936,3.61
00514,40.1415366,-86.0212807,3.91
00515,40.1289151,-86.0202881,7.01
00516,40.1298160,-86.0202751,8.22
00517,40.1307168,-86.0202622,8.55
00518,40.1316176,-86.0202493,4.73
00519,40.1334193,-86.0202234,0.30
00520,40.1343201,-86.0202105,5.83
00521,40.1352209,-86.0201975,5.95
00522,40.1361218,-86.0201846,6.05
00523,40.1370226,-86.0201716,6.17
00524,40.1388242,-86.0201458,4.10
00525,40.1397251,-86.0201328,4.03
00526,40.1406259,-86.0201199,2.80
00527,40.1415267,-86.0201069,3.67
00528,40.1343102,-86.0190368,7.10
00529,40.1352110,-86.0190239,5.34
00530,40.1361118,-86.0190109,6.09
00531,40.1379135,-86.0189850,3.42
00532,40.1388143,-86.0189720,3.34
00533,40.1397151,-86.0189591,3.81
00534,40.1406160,-86.0189461,3.82
00535,40.1415168,-86.0189332,3.82
00536,40.1352010,-86.0178502,6.03
00537,40.1361019,-86.0178372,5.77
00538,40.1370027,-86.0178243,4.73
00539,40.1379035,-86.0178113,4.86
00540,40.1415068,-86.0177594,4.91
00541,40.1351911,-86.0166765,6.72
00542,40.1360919,-86.0166636,5.82
00543,40.1369927,-86.0166506,6.19
00544,40.1414969,-86.0165856,1.97
00545,40.1423977,-86.0165727,3.03
00546,40.1432985,-86.0165597,2.15
00547,40.1441993,-86.0165467,1.39
00548,40.1423877,-86.0153989,1.29
00549,40.1432885,-86.0153859,0.70
00550,40.1441894,-86.0153729,1.81
00551,40.1450902,-86.0153599,1.88
00552,40.1432786,-86.0142121,0.43
00553,40.1441794,-86.0141990,2.27
00554,40.1450802,-86.0141860,0.42
00555,40.1432686,-86.0130383,3.10
00556,40.1441694,-86.0130252,0.44
00557,40.1423477,-86.0107037,0.44
00558,40.1432485,-86.0106907,0.30
00559,40.1441493,-86.0106776,0.34
00560,40.1468518,-86.0106384,0.36
00561,40.1414368,-86.0095431,0.30
00562,40.1423377,-86.0095300,0.44
00563,40.1432385,-86.0095169,0.44
00564,40.1441393,-86.0095038,0.44
00565,40.1468418,-86.0094645,0.30
00566,40.1477426,-86.0094515,0.30
00567,40.1468217,-86.0071168,0.30
00568,40.1468116,-86.0059430,0.30
